category,source,photo,model,encoder,device,width,height,inference_time_sec,depth_min,depth_max,depth_mean,depth_std,depth_p05,depth_p50,depth_p95,depth_range,depth_map,comparison
very_close_object,teammate,photos/very_close_object/very_close_01_glass_on_metal_table.jpg,Small,vits,cuda,2880,3840,0.163319,0.000000,7.802495,2.558662,2.612051,0.000000,1.413853,6.962051,7.802495,results/small/depth_maps/very_close_object_very_close_01_glass_on_metal_table_small.png,results/small/comparisons/very_close_object_very_close_01_glass_on_metal_table_small.png
very_close_object,teammate,photos/very_close_object/very_close_02_hand_object_car_window.jpg,Small,vits,cuda,2880,3840,0.335428,0.000000,7.845342,2.030538,2.179326,0.000000,0.588424,5.656837,7.845342,results/small/depth_maps/very_close_object_very_close_02_hand_object_car_window_small.png,results/small/comparisons/very_close_object_very_close_02_hand_object_car_window_small.png
asaken,asaken,photos/asaken/IMG-20260623-WA0011.jpeg,Base,vitb,cuda,3840,2160,0.441093,0.604878,14.706131,5.944246,3.575233,1.326354,5.684088,13.462181,14.101253,results/base/depth_maps/asaken_IMG-20260623-WA0011_base.png,results/base/comparisons/asaken_IMG-20260623-WA0011_base.png
asaken,asaken,photos/asaken/IMG-20260623-WA0014.jpeg,Base,vitb,cuda,3840,2160,0.246518,0.595455,12.601929,6.051084,3.341443,1.278319,5.981277,11.882367,12.006473,results/base/depth_maps/asaken_IMG-20260623-WA0014_base.png,results/base/comparisons/asaken_IMG-20260623-WA0014_base.png
asaken,asaken,photos/asaken/IMG_20260623_154720.jpg,Base,vitb,cuda,3000,4000,0.213310,0.000000,12.661638,4.383036,3.871482,0.000000,3.105280,12.138141,12.661638,results/base/depth_maps/asaken_IMG_20260623_154720_base.png,results/base/comparisons/asaken_IMG_20260623_154720_base.png
asaken,asaken,photos/asaken/IMG_20260623_171156.jpg,Base,vitb,cuda,3000,4000,0.209742,0.000000,13.694780,6.454083,3.245757,1.119560,6.574058,12.138273,13.694780,results/base/depth_maps/asaken_IMG_20260623_171156_base.png,results/base/comparisons/asaken_IMG_20260623_171156_base.png
asaken,asaken,photos/asaken/IMG_20260623_172846.jpg,Base,vitb,cuda,4000,3000,0.243982,0.000000,15.911583,6.005043,4.422470,0.449367,5.906908,14.272815,15.911583,results/base/depth_maps/asaken_IMG_20260623_172846_base.png,results/base/comparisons/asaken_IMG_20260623_172846_base.png
asaken,asaken,photos/asaken/IMG_20260623_173049.jpg,Base,vitb,cuda,3000,4000,0.222669,0.000000,23.971975,5.419168,4.559271,1.244689,4.153887,16.596854,23.971975,results/base/depth_maps/asaken_IMG_20260623_173049_base.png,results/base/comparisons/asaken_IMG_20260623_173049_base.png
asaken,asaken,photos/asaken/IMG_20260623_173357.jpg,Base,vitb,cuda,3000,4000,0.219895,0.470456,13.664935,6.528613,3.452197,0.744399,6.782600,11.907874,13.194479,results/base/depth_maps/asaken_IMG_20260623_173357_base.png,results/base/comparisons/asaken_IMG_20260623_173357_base.png
asaken,asaken,photos/asaken/IMG_20260623_173606.jpg,Base,vitb,cuda,3000,4000,0.382193,0.309742,8.663267,4.070318,2.050671,1.133560,3.837837,7.523575,8.353525,results/base/depth_maps/asaken_IMG_20260623_173606_base.png,results/base/comparisons/asaken_IMG_20260623_173606_base.png
asaken,asaken,photos/asaken/IMG_20260623_173635.jpg,Base,vitb,cuda,3000,4000,0.208539,0.186617,12.339697,3.817612,2.157371,0.957411,3.387878,7.678292,12.153080,results/base/depth_maps/asaken_IMG_20260623_173635_base.png,results/base/comparisons/asaken_IMG_20260623_173635_base.png
asaken,asaken,photos/asaken/IMG_20260623_173704.jpg,Base,vitb,cuda,3000,4000,0.251543,0.432798,10.686046,3.669308,2.311595,1.003775,2.832718,7.897944,10.253247,results/base/depth_maps/asaken_IMG_20260623_173704_base.png,results/base/comparisons/asaken_IMG_20260623_173704_base.png
asaken,asaken,photos/asaken/IMG_20260623_182150.jpg,Base,vitb,cuda,4000,3000,0.216516,0.772088,12.634593,5.944489,3.141215,1.478916,6.124074,10.551053,11.862505,results/base/depth_maps/asaken_IMG_20260623_182150_base.png,results/base/comparisons/asaken_IMG_20260623_182150_base.png
asaken,asaken,photos/asaken/IMG_20260623_182854.jpg,Base,vitb,cuda,4000,3000,0.207887,0.677212,14.976592,5.823623,3.353610,1.404819,5.683864,11.659884,14.299380,results/base/depth_maps/asaken_IMG_20260623_182854_base.png,results/base/comparisons/asaken_IMG_20260623_182854_base.png
asaken,asaken,photos/asaken/IMG_20260623_182900.jpg,Base,vitb,cuda,4000,3000,0.255084,0.564037,13.239762,6.087200,3.526496,1.296503,5.635662,12.300260,12.675726,results/base/depth_maps/asaken_IMG_20260623_182900_base.png,results/base/comparisons/asaken_IMG_20260623_182900_base.png
indoor,teammate,photos/indoor/indoor_01_ceiling_lights.jpg,Base,vitb,cuda,2880,3840,0.204356,0.029821,12.249403,3.401444,2.761821,0.625303,2.418058,9.399376,12.219582,results/base/depth_maps/indoor_indoor_01_ceiling_lights_base.png,results/base/comparisons/indoor_indoor_01_ceiling_lights_base.png
indoor,teammate,photos/indoor/indoor_02_kitchen_wide.jpg,Base,vitb,cuda,2880,3840,0.206199,0.000000,14.161339,5.329543,3.631702,0.247676,5.016268,11.670864,14.161339,results/base/depth_maps/indoor_indoor_02_kitchen_wide_base.png,results/base/comparisons/indoor_indoor_02_kitchen_wide_base.png
outdoor,teammate,photos/outdoor/outdoor_01_street_buildings.jpg,Base,vitb,cuda,2880,3840,0.203254,0.000000,10.536321,3.628012,3.178176,0.000000,2.775049,9.065206,10.536321,results/base/depth_maps/outdoor_outdoor_01_street_buildings_base.png,results/base/comparisons/outdoor_outdoor_01_street_buildings_base.png
outdoor,teammate,photos/outdoor/outdoor_02_cafe_drinks_street.jpg,Base,vitb,cuda,2880,3840,0.202093,0.000000,12.210762,4.202140,4.448991,0.000000,1.216429,10.636162,12.210762,results/base/depth_maps/outdoor_outdoor_02_cafe_drinks_street_base.png,results/base/comparisons/outdoor_outdoor_02_cafe_drinks_street_base.png
